Agreement #,IssuerID,Issuer Name,Issuer City,Issuer State,FFIEC Regulator,Agreement File Name,PDF Size,TXT Size,Effective Date,Agreement Description,CFPB Filename,ID,Status
105,22,State Department Federal Credit Union,Alexandria,VA,NCUA,083663872_1,,,2009-12-31,Agreement 1,creditcardagreement_105,FR083663872,Maintain
215,71,RG Premier Bank,San Juan,PR,FDIC,118161728_1,,,2009-12-31,Agreement 1,creditcardagreement_215,FR118161728,Maintain
216,71,RG Premier Bank,San Juan,PR,FDIC,118161728_2,,,2009-12-31,Agreement 2,creditcardagreement_216,FR118161728,Maintain
219,75,AMOCO Federal Credit Union,Texas City,TX,NCUA,061231650_1,,,2009-12-31,Agreement 1,creditcardagreement_219,FR061231650,Maintain
222,75,AMOCO Federal Credit Union,Texas City,TX,NCUA,061231650_2,,,2009-12-31,Agreement 2,creditcardagreement_222,FR061231650,Maintain
246,82,Savannah River Plant Federal Credit Union,North Augusta,SC,NCUA,082234808_2,,,2009-12-31,Agreement 2,creditcardagreement_246,FR082234808,Maintain
250,85,Matanuska Valley Federal Credit Union,Palmer,AK,NCUA,071852370_1,,,2009-12-31,Agreement 1,creditcardagreement_250,FR071852370,Maintain
320,129,Pacific Service Credit Union,Walnut Creek,CA,NCUA,074647850_1,,,2009-12-31,Agreement 1,creditcardagreement_320,FR074647850,Maintain
332,135,Erickson Petroleum Corporation,Bloomington,MN,NA,006216899_2,,,2009-12-31,Agreement 2,creditcardagreement_332,FR006216899,Maintain
370,156,University of Kentucky Federal Credit Union,Lexington,KY,NCUA,623542990_1,,,2009-12-31,Agreement 1,creditcardagreement_370,FR623542990,Maintain
373,158,Tiffany and Company,Parsippany,NJ,NA,001211473_1,,,2009-12-31,Agreement 1,creditcardagreement_373,FR001211473,Maintain
375,160,TruWest Credit Union,Tempe,AZ,NCUA,093653970_2,,,2009-12-31,Agreement 2,creditcardagreement_375,FR093653970,Maintain
376,160,TruWest Credit Union,Tempe,AZ,NCUA,093653970_3,,,2009-12-31,Agreement 3,creditcardagreement_376,FR093653970,Maintain
377,160,TruWest Credit Union,Tempe,AZ,NCUA,093653970_4,,,2009-12-31,Agreement 4,creditcardagreement_377,FR093653970,Maintain
415,170,TMG Financial Services Inc,Des Moines,IA,NA,805876203_1,,,2009-12-31,Agreement 1,creditcardagreement_415,FR805876203,Maintain
416,170,TMG Financial Services Inc,Des Moines,IA,NA,805876203_2,,,2009-12-31,Agreement 2,creditcardagreement_416,FR805876203,Maintain
596,201,Woodforest,The Woodlands,TX,OCC,038837266_1,,,2009-12-31,Agreement 1,creditcardagreement_596,FR038837266,Maintain
863,232,Royal Credit Union,Eau Claire,WI,NCUA,078694734_1,,,2009-12-31,Agreement 1,creditcardagreement_863,FR078694734,Maintain
934,241,Veridain Credit Union,Waterloo,IA,NCUA,139788285_1,,,2009-12-31,Agreement 1,creditcardagreement_934,FR139788285,Maintain
946,59,Affinity Federal Credit Union,Basking Ridge,NJ,NCUA,060214707_Credit Card Account Agreement,,,2009-12-31,Credit Card Account Agreement,creditcardagreement_946,FR060214707,Maintain
1048,267,Credit Union 1 (Illinois),Rantoul,IL,NCUA,067402826_Visa Agreement Feb-Jul 2010,,,2009-12-31,Visa Agreement Feb-Jul 2010,creditcardagreement_1048,FR067402826,Maintain
1054,270,Members Heritage FCU,Lexington,KY,NCUA,108127143_1,,,2009-12-31,Agreement 1,creditcardagreement_1054,FR108127143,Maintain
1055,270,Members Heritage FCU,Lexington,KY,NCUA,108127143_2,,,2009-12-31,Agreement 2,creditcardagreement_1055,FR108127143,Maintain
1056,270,Members Heritage FCU,Lexington,KY,NCUA,108127143_MasterCard Cardholder Agreement,,,2009-12-31,MasterCard Cardholder Agreement,creditcardagreement_1056,FR108127143,Maintain
1057,270,Members Heritage FCU,Lexington,KY,NCUA,108127143_Visa Cardholder Agreement,,,2009-12-31,Visa Cardholder Agreement,creditcardagreement_1057,FR108127143,Maintain
1181,280,Municipal Credit Union,New York,NY,NCUA,07-683-8143_4,,,2009-12-31,Fixed Rate Visa Cardholder Agreement,creditcardagreement_1181,FR076838143,Maintain
1287,295,HAPO Community Credit Union,Richland,WA,NCUA,081485195_3,,,2009-12-31,Agreement 3,creditcardagreement_1287,FR081485195,Maintain
1288,295,HAPO Community Credit Union,Richland,WA,NCUA,081485195_4,,,2009-12-31,Agreement 4,creditcardagreement_1288,FR081485195,Maintain
1291,298,Palmetto Citizens Federal Credit Union,Columbia,SC,NCUA,71235774_1,,,2009-12-31,Agreement 1,creditcardagreement_1291,FR071235774,Maintain
1304,302,Mazuma Credit Union,Kansas City,MO,NCUA,084091917_1,,,2009-12-31,Agreement 1,creditcardagreement_1304,FR084091917,Maintain
1305,302,Mazuma Credit Union,Kansas City,MO,NCUA,084091917_2,,,2009-12-31,Agreement 2,creditcardagreement_1305,FR084091917,Maintain
1421,333,Bank-Fund Staff Federal Credit Union,Washington,DC,NCUA,122302839_1,,,2009-12-31,Agreement 1,creditcardagreement_1421,FR122302839,Maintain
1422,333,Bank-Fund Staff Federal Credit Union,Washington,DC,NCUA,122302839_2,,,2009-12-31,Agreement 2,creditcardagreement_1422,FR122302839,Maintain
1438,335,Provident Credit Union,Redwood Shores,CA,NCUA,053240669_1,,,2009-12-31,Agreement 1,creditcardagreement_1438,FR053240669,Maintain
1439,335,Provident Credit Union,Redwood Shores,CA,NCUA,053240669_2,,,2009-12-31,Agreement 2,creditcardagreement_1439,FR053240669,Maintain
1440,335,Provident Credit Union,Redwood Shores,CA,NCUA,053240669_3,,,2009-12-31,Agreement 3,creditcardagreement_1440,FR053240669,Maintain
1452,346,Westerra Credit Union,Denver,CO,NCUA,106338015_ConsumerCreditCardDisclosure,,,2009-12-31,ConsumerCreditCardDisclosure,creditcardagreement_1452,FR106338015,Maintain
1475,355,Nebraska Funiture Mart Inc,Omaha,NE,NA,FR007875040_Agreement_2,,,2010-12-31,Agreement 2,creditcardagreement_1475,FR007875040,Maintain
1509,367,Member One Federal Credit Union,Roanoke,VA,NCUA,082882481_1,,,2009-12-31,Agreement 1,creditcardagreement_1509,FR082882481,Maintain
1530,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_CLASSIC,,,2010-06-30,CLASSIC,creditcardagreement_1530,FR106345606,Maintain
1531,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_PLATINUM,,,2010-06-30,PLATINUM,creditcardagreement_1531,FR106345606,Maintain
1532,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_UIAAVISA,,,2010-06-30,UIAAVISA,creditcardagreement_1532,FR106345606,Maintain
1533,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_UIAAVISAREWARDS,,,2010-06-30,UIAAVISAREWARDS,creditcardagreement_1533,FR106345606,Maintain
1627,136,Speedway LLC,Enon,OH,NA,077570158_Agreement 1,,,2010-06-30,Agreement 1,creditcardagreement_1627,FR077570158,Maintain
1630,207,City County Credit Union of Fort Lauderdale,Margate,FL,NCUA,FR626616858_2010_Platinum_Agreement,,,2010-06-30,2010 Platinum Agreement,creditcardagreement_1630,FR626616858,Maintain
1631,207,City County Credit Union of Fort Lauderdale,Margate,FL,NCUA,FR626616858_2010_Secured_Agreement,,,2010-06-30,2010 Secured Agreement,creditcardagreement_1631,FR626616858,Maintain
1652,229,Southeast Financial Credit Union,Franklin,TN,NCUA,FR796648251_SECURED,,,2010-06-30,SECURED,creditcardagreement_1652,FR796648251,Maintain
1653,229,Southeast Financial Credit Union,Franklin,TN,NCUA,FR796648251_VISAPLATINUM_MASTERCARD,,,2010-06-30,VISAPLATINUM MASTERCARD,creditcardagreement_1653,FR796648251,Maintain
1673,156,University of Kentucky Federal Credit Union,Lexington,KY,NCUA,623542990_Aug10 Agreement,,,2010-06-30,Aug. 10 Agreement,creditcardagreement_1673,FR623542990,Maintain
1677,323,Coastal Federal Credit Union,Raleigh,NC,NCUA,FR049784010_Infinity Visa 11.99,,,2010-06-30,Infinity Visa 11.99,creditcardagreement_1677,FR049784010,Maintain
1678,323,Coastal Federal Credit Union,Raleigh,NC,NCUA,FR049784010_Infinity Visa 13.99,,,2010-06-30,Infinity Visa 13.99,creditcardagreement_1678,FR049784010,Maintain
1679,323,Coastal Federal Credit Union,Raleigh,NC,NCUA,FR049784010_Infinity Visa 16.99,,,2010-06-30,Infinity Visa 16.99,creditcardagreement_1679,FR049784010,Maintain
1715,377,Apple Federal Credit Union,Fairfax,VA,NCUA,092399849_Educator,,,2010-06-30,Educator,creditcardagreement_1715,FR092399849,Maintain
1716,377,Apple Federal Credit Union,Fairfax,VA,NCUA,092399849_Platinum,,,2010-06-30,Platinum,creditcardagreement_1716,FR092399849,Maintain
1717,377,Apple Federal Credit Union,Fairfax,VA,NCUA,092399849_Student,,,2010-06-30,Student,creditcardagreement_1717,FR092399849,Maintain
1734,368,Freedom Credit Union,Warminster,PA,NCUA,361571748_Agreement 1,,,2010-06-30,Agreement 1,creditcardagreement_1734,FR361571748,Maintain
1747,76,First Citizens Bank and Trust,Raleigh,NC,FDIC,003202975_Agreement 1,,,2010-06-30,Agreement 1,creditcardagreement_1747,FR003202975,Maintain
1748,76,First Citizens Bank and Trust,Raleigh,NC,FDIC,003202975_Agreement 2,,,2010-06-30,Agreement 2,creditcardagreement_1748,FR003202975,Maintain
1749,76,First Citizens Bank and Trust,Raleigh,NC,FDIC,003202975_Agreement 3,,,2010-06-30,Agreement 3,creditcardagreement_1749,FR003202975,Maintain
1750,76,First Citizens Bank and Trust,Raleigh,NC,FDIC,003202975_Agreement 4,,,2010-06-30,Agreement 4,creditcardagreement_1750,FR003202975,Maintain
1789,272,Trustmark National Bank,Jackson,MS,OCC,071952345_Agreement 1,,,2010-06-30,Agreement 1,creditcardagreement_1789,FR071952345,Maintain
1825,224,Greylock Federal Credit Union,Pittsfield,MA,NCUA,FR119235364_Agreement 1,,,2010-06-30,Agreement 1,creditcardagreement_1825,FR119235364,Maintain
1839,189,Affinity Plus Federal Credit Union,Saint Paul,MN,NCUA,FR006200372_Visa Platinum Rewards Disclosure 9 90 Percent,,,2010-06-30,Visa Platinum Rewards Disclosure 9.90 Percent,creditcardagreement_1839,FR006200372,Maintain
1840,189,Affinity Plus Federal Credit Union,Saint Paul,MN,NCUA,FR006200372_Visa Platinum Rewards Disclosure 11 90 Percent,,,2010-06-30,Visa Platinum Rewards Disclosure 11.90 Percent,creditcardagreement_1840,FR006200372,Maintain
1841,189,Affinity Plus Federal Credit Union,Saint Paul,MN,NCUA,FR006200372_Visa Platinum Rewards Disclosure 13 9 Percent,,,2010-06-30,Visa Platinum Rewards Disclosure 13.9 Percent,creditcardagreement_1841,FR006200372,Maintain
1842,189,Affinity Plus Federal Credit Union,Saint Paul,MN,NCUA,FR006200372_Visa Platinum Rewards Disclosure 15 9 Percent,,,2010-06-30,Visa Platinum Rewards Disclosure 15.9 Percent,creditcardagreement_1842,FR006200372,Maintain
1843,189,Affinity Plus Federal Credit Union,Saint Paul,MN,NCUA,FR006200372_Visa Platinum Rewards Disclosure 17 9 Percent,,,2010-06-30,Visa Platinum Rewards Disclosure 17.9 Percent,creditcardagreement_1843,FR006200372,Maintain
2199,188,Directions Credit Union,Sylvania ,OH,NCUA,FR056705965_Credit Card Agreement_063010,,,2010-06-30,Credit Card Agreement 063010,creditcardagreement_2199,FR056705965,Maintain
2306,353,State Employees Credit Union (Maryland),Linthicum,MD,NCUA,097587190_sharesecuredagreement2,,,2010-06-30,sharesecuredagreement2,creditcardagreement_2306,FR097587190,Maintain
2347,241,Veridain Credit Union,Waterloo,IA,NCUA,FR139788285_Platinum1,,,2010-06-30,Platinum1,creditcardagreement_2347,FR139788285,Maintain
2352,358,Rogers Enterprises,Park Forest,IL,NA,FR059443614_A and O,,,2010-06-30,A and O,creditcardagreement_2352,FR059443614,Maintain
2353,358,Rogers Enterprises,Park Forest,IL,NA,FR059443614_R and H,,,2010-06-30,R and H,creditcardagreement_2353,FR059443614,Maintain
2357,249,CoastHills Federal Credit Union,Lompoc,CA,NCUA,FR085411940_AGREEMENT,,,2010-06-30,Agreement,creditcardagreement_2357,FR085411940,Maintain
2359,32,United Bank Inc,Parkersburg,WV,FDIC,007945256_1 Gold MC,,,2010-06-30,Gold MC,creditcardagreement_2359,FR007945256,Maintain
2360,32,United Bank Inc,Parkersburg,WV,FDIC,007945256_2 Visa Platinum,,,2010-06-30,Visa Platinum,creditcardagreement_2360,FR007945256,Maintain
2361,32,United Bank Inc,Parkersburg,WV,FDIC,007945256_3 Visa,,,2010-06-30,Visa ,creditcardagreement_2361,FR007945256,Maintain
2362,220,South Florida Educational Federal Credit Union,Miami,FL,NCUA,FR073887994_creditcardagreement,,,2010-06-30,Credit Card Ageement,creditcardagreement_2362,FR073887994,Maintain
2404,156,University of Kentucky Federal Credit Union,Lexington,KY,NCUA,623542990_Nov-2010 Agreement,,,2010-09-30,Nov 2010 Agreement,creditcardagreement_2404,FR623542990,Maintain
2625,247,Achieva Credit Union,Clearwater,FL,NCUA,FR198067576_Visa Agreement,,,2010-09-30,Visa Agreement,creditcardagreement_2625,FR198067576,Maintain
2628,160,TruWest Credit Union,Tempe,AZ,NCUA,093653970_S1-2 Rev 8-2,,,2010-09-30,S1 2 Rev 8 2,creditcardagreement_2628,FR093653970,Maintain
2629,160,TruWest Credit Union,Tempe,AZ,NCUA,093653970_S5-6 8-2,,,2010-09-30,S5 6 8 2,creditcardagreement_2629,FR093653970,Maintain
2630,160,TruWest Credit Union,Tempe,AZ,NCUA,093653970_ S3-4 8-2,,,2010-09-30,S3 4 8 2,creditcardagreement_2630,FR093653970,Maintain
2656,347,Arapahoe Credit Union,Centennial,CO,NCUA,FR106367329_Agreement,,,2010-09-30,Agreement 1,creditcardagreement_2656,FR106367329,Maintain
2657,347,Arapahoe Credit Union,Centennial,CO,NCUA,FR106367329_ClassicDisclosure,,,2010-09-30,Classic Disclosure,creditcardagreement_2657,FR106367329,Maintain
2658,347,Arapahoe Credit Union,Centennial,CO,NCUA,FR106367329_PlatinumDisclosure,,,2010-09-30,Platinum Disclosure,creditcardagreement_2658,FR106367329,Maintain
2667,87,American 1 Federal Credit Union,Jackson,MI,NCUA,American1creditcardagreement,,,2013-12-31,Agreement 1,creditcardagreement_2667,FR076346923,Maintain
2808,154,Idaho Central Credit Union,Chubbuck,ID,NCUA,FR108135278_Consumer Agreement,,,2010-09-30,Consumer Agreement,creditcardagreement_2808,FR108135278,Maintain
2835,232,Royal Credit Union,Eau Claire,WI,NCUA,FR078694734_Agreement 2,,,2010-09-30,Agreement 2,creditcardagreement_2835,FR078694734,Maintain
2942,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_8,,,2010-09-30,8,creditcardagreement_2942,FR801814047,Maintain
2943,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_9,,,2010-09-30,9,creditcardagreement_2943,FR801814047,Maintain
2944,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_10,,,2010-09-30,10,creditcardagreement_2944,FR801814047,Maintain
2945,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_11,,,2010-09-30,11,creditcardagreement_2945,FR801814047,Maintain
2946,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_12,,,2010-09-30,12,creditcardagreement_2946,FR801814047,Maintain
